YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU
2023.0,U-10405,A,0.143,C010405,A,C010405A,000+0.426,000+0.568,0.426,0.568,42-4A-031,,,E,3353.0,14.0,,6.0,31.0,6.0,4.0,,2.0,9.0,2.0,UMA_UC,8172.0,10.0,106.0,10.0,10.0,11.0,11.0,,2.0,,RICHLAND,JCT U-10403 (5TH ST SW),JCT U-10403 (5TH ST SW),0.741,0.0
2023.0,U-10405,A,0.019,C010405,A,C010405A,000+0.406,000+0.426,0.406,0.426,42-4A-030,,,E,2699.0,14.0,,6.0,31.0,6.0,5.0,,2.0,11.0,2.0,UMA_UC,8172.0,10.0,106.0,9.0,9.0,10.0,10.0,,2.0,,RICHLAND,JCT U-10404(5TH ST SW),JCT U-10404(5TH ST SW),0.741,0.0
2023.0,U-10405,A,0.406,C010405,A,C010405A,000+0.000,000+0.406,0.0,0.406,42-4A-030,,,E,2699.0,14.0,,6.0,31.0,6.0,5.0,,2.0,11.0,2.0,UMA_UC,8172.0,10.0,106.0,9.0,9.0,10.0,10.0,,2.0,,RICHLAND,JCT N-20(CENTRAL AVE),ENT U-10405A/,0.741,0.0
2023.0,U-10404,A,0.213,C010404,A,C010404A,000+0.550,000+0.763,0.55,0.763,42-4A-041,,,E,138.0,1.0,,2.0,5.0,0.0,7.0,,14.0,36.0,0.0,UMA_UC,9183.0,10.0,178.0,2.0,2.0,3.0,3.0,,2.0,,RICHLAND,,,1.923,0.0
2023.0,U-10404,A,0.188,C010404,A,C010404A,000+0.000,000+0.188,0.0,0.188,42-4A-039,,,E,473.0,1.0,,1.0,4.0,0.0,2.0,,2.0,8.0,0.0,UMA_UC,9183.0,10.0,178.0,2.0,2.0,2.0,2.0,,2.0,,RICHLAND,JCT U-10405(LINCOLN AVE),ENT U-10404A/,1.923,0.0
2023.0,U-10403,A,0.209,C010403,A,C010403A,000+0.538,000+0.747,0.538,0.747,42-4A-038,,,E,1123.0,4.0,,4.0,10.0,1.0,4.0,,4.0,9.0,1.0,UMA_UC,9216.0,10.0,118.0,5.0,5.0,7.0,7.0,,2.0,,RICHLAND,JCT 9TH AVE NW/L-42-568,JCT 9TH AVE NW/L-42-568,3.39,0.847
2023.0,L-25-31,A,1.213,C025031,A,C025031A,000+0.000,001+0.213,0.0,1.213,060164E,,,E,96.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,LEWIS AND CLARK,JCT N-8,ENT L-25-31A/,0.0,0.0
2023.0,U-10403,A,0.173,C010403,A,C010403A,000+0.364,000+0.538,0.364,0.538,42-4A-037,,,E,1877.0,4.0,,4.0,10.0,1.0,2.0,,2.0,5.0,1.0,UMA_UC,9216.0,10.0,118.0,5.0,5.0,7.0,7.0,,2.0,,RICHLAND,JCT U-10413 (5TH ST),JCT U-10413 (5TH ST),3.39,0.847
2023.0,L-23-311,A,8.19,C023311,A,C023311A,000+0.000,008+0.190,0.0,8.19,088612S,,,E,18.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,JUDITH BASIN,JCT N-57,ENT L-23-311A/,0.0,0.0
2023.0,U-10403,A,0.364,C010403,A,C010403A,000+0.000,000+0.364,0.0,0.364,42-4A-036,,,E,883.0,4.0,,4.0,10.0,1.0,5.0,,5.0,11.0,1.0,UMA_UC,9216.0,10.0,118.0,5.0,5.0,7.0,7.0,,2.0,,RICHLAND,JCT N-62(HOLLY ST),ENT U-10403A/,3.39,0.847
