CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C001668,2.001,3822.0,7647.821999999999,16-3A-037,GALLATIN,16-3A-037,000+0.000,002+0.001,L-16-741,4,955.5,1911.9554999999998
C001668,1.009,2706.0,2730.354,16-3A-038,GALLATIN,16-3A-038,002+0.001,003+0.010,L-16-741,5,541.2,546.0708
C001714,2.0,739.0,1478.0,16-3A-047,GALLATIN,16-3A-047,001+0.574,003+0.574,L-16-706,1,739.0,1478.0
C001801,0.373,3433.0,1280.509,47-1C-029,SILVER BOW,47-1C-029,000+0.490,000+0.863,U-1801,6,572.1666666666666,213.41816666666668
C001801,0.26,4693.0,1220.18,47-1C-030,SILVER BOW,47-1C-030,000+0.863,001+0.124,U-1801,3,1564.3333333333333,406.7266666666667
C001801,0.453,1545.0,699.885,47-1C-034,SILVER BOW,47-1C-034,002+0.547,002+0.999,U-1801,1,1545.0,699.885
C001801,0.54,2079.0,1122.66,47-1C-035,SILVER BOW,47-1C-035,002+0.999,003+0.539,U-1801,1,2079.0,1122.66
C001801,0.229,3221.0,737.609,47-1C-036,SILVER BOW,47-1C-036,003+0.539,003+0.768,U-1801,3,1073.6666666666667,245.8696666666667
C001804,0.165,4953.0,817.245,47-1C-037,SILVER BOW,47-1C-037,000+0.485,000+0.650,U-1804,2,2476.5,408.6225
C001804,0.49,4953.0,2426.97,47-1C-037,SILVER BOW,47-1C-037,000+0.650,001+0.140,U-1804,2,2476.5,1213.485
C001804,0.232,6252.0,1450.4640000000002,47-1C-038,SILVER BOW,47-1C-038,000+0.253,000+0.485,U-1804,2,3126.0,725.2320000000001
C001804,0.253,6887.0,1742.411,47-1C-095,SILVER BOW,47-1C-095,000+0.000,000+0.253,U-1804,2,3443.5,871.2055
C001805,0.393,17991.0,7070.463000000001,47-1C-039,SILVER BOW,47-1C-039,000+0.000,000+0.393,N-120,7,2570.1428571428573,1010.066142857143
C001805,0.353,14386.0,5078.258,47-1C-040,SILVER BOW,47-1C-040,000+0.393,000+0.746,N-120,5,2877.2,1015.6515999999999
C001805,0.117,11867.0,1388.439,47-1C-041,SILVER BOW,47-1C-041,000+0.790,000+0.907,U-1805,1,11867.0,1388.439
C001805,0.536,3521.0,1887.256,47-1C-076,SILVER BOW,47-1C-076,000+0.907,001+0.443,U-1805,4,880.25,471.814
C001806,0.254,8853.0,2248.662,47-1C-044,SILVER BOW,47-1C-044,000+0.000,000+0.254,N-121,7,1264.7142857142858,321.23742857142855
C001806,0.449,9317.0,4183.3330000000005,47-1C-098,SILVER BOW,47-1C-098,000+0.254,000+0.702,N-121,3,3105.6666666666665,1394.4443333333336
C001807,0.667,1155.0,770.385,47-1-003,SILVER BOW,47-1-003,008+0.834,009+0.501,U-1807,1,1155.0,770.385
C001807,3.302,2475.0,8172.45,47-1C-027,SILVER BOW,47-1C-027,005+0.532,008+0.834,U-1807,2,1237.5,4086.225
C001807,0.599,4668.0,2796.132,47-1C-046,SILVER BOW,47-1C-046,000+0.000,000+0.599,U-1807,3,1556.0,932.044
C001807,0.769,6447.0,4957.743,47-1C-047,SILVER BOW,47-1C-047,001+0.082,001+0.851,U-1807,1,6447.0,4957.743
C001807,0.776,5108.0,3963.808,47-1C-048,SILVER BOW,47-1C-048,001+0.851,002+0.628,U-1807,2,2554.0,1981.904
C001807,0.373,6882.0,2566.986,47-1C-050,SILVER BOW,47-1C-050,003+0.216,003+0.589,U-1807,3,2294.0,855.6619999999999
C001807,0.29,5310.0,1539.8999999999999,47-1C-051,SILVER BOW,47-1C-051,004+0.444,004+0.734,U-1807,2,2655.0,769.9499999999999
C001807,0.483,5970.0,2883.5099999999998,47-1C-096,SILVER BOW,47-1C-096,000+0.599,001+0.082,U-1807,2,2985.0,1441.7549999999999
C001807,0.855,5962.0,5097.51,47-1C-101,SILVER BOW,47-1C-101,003+0.589,004+0.444,U-1807,4,1490.5,1274.3775
C001808,0.393,1639.0,644.1270000000001,47-1C-053,SILVER BOW,47-1C-053,000+0.000,000+0.393,L-47-1027,1,1639.0,644.1270000000001
C001808,0.797,1292.0,1029.7240000000002,47-1C-079,SILVER BOW,47-1C-079,000+0.393,001+0.190,L-47-1027,1,1292.0,1029.7240000000002
C001809,0.378,3747.0,1416.366,47-1C-092,SILVER BOW,47-1C-092,001+0.236,001+0.614,U-1809,1,3747.0,1416.366
C001810,0.729,4281.0,3120.8489999999997,47-1C-055,SILVER BOW,47-1C-055,000+0.000,000+0.729,U-1810,5,856.2,624.1697999999999
C001812,0.271,7593.0,2057.703,47-1C-057,SILVER BOW,47-1C-057,000+0.000,000+0.271,U-1812,12,632.75,171.47525
C001812,0.742,2207.0,1637.594,47-1C-058,SILVER BOW,47-1C-058,000+0.271,001+0.013,U-1812,1,2207.0,1637.594
C001816,0.461,3061.0,1411.121,47-1C-060,SILVER BOW,47-1C-060,000+0.934,001+0.394,U-1816,1,3061.0,1411.121
C001816,0.308,5279.0,1625.932,47-1C-086,SILVER BOW,47-1C-086,000+0.626,000+0.934,U-1816,1,5279.0,1625.932
C001818,0.585,1877.0,1098.0449999999998,47-1C-061,SILVER BOW,47-1C-061,000+0.000,000+0.585,U-1818,4,469.25,274.51124999999996
C001820,0.512,7628.0,3905.536,47-1C-043,SILVER BOW,47-1C-043,000+0.000,000+0.512,U-1820,3,2542.6666666666665,1301.8453333333334
C001820,0.605,2109.0,1275.945,47-1C-069,SILVER BOW,47-1C-069,000+0.847,001+0.451,U-1820,1,2109.0,1275.945
C001820,0.264,8422.0,2223.408,47-1C-106,SILVER BOW,47-1C-106,000+0.512,000+0.776,U-1820,1,8422.0,2223.408
