CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES
C000001,2.12108361,1972,4182.77687892,27-3-004,LINCOLN,27-3-004,010+0.008,012+0.098,N-1,2
C000001,0.4060876,2978,1209.3288728,27-3-005,LINCOLN,27-3-005,016+0.519,016+0.925,N-1,2
C000001,10.66194584,2671,28478.05733864,27-3-007,LINCOLN,27-3-007,017+0.142,027+0.794,N-1,5
C000001,1.84620557,2566,4737.36349262,27-3-016,LINCOLN,27-3-016,012+0.098,014+0.011,N-1,1
C000001,0.30388683,1618,491.68889094,27-3-018,LINCOLN,27-3-018,015+0.110,015+0.414,N-1,1
C000001,1.89602382,1352,2563.42420464,27-3-024,LINCOLN,27-3-024,000+0.000,001+0.891,N-1,2
C000001,1.22811397,3318,4074.8821524600003,27-3A-001,LINCOLN,27-3A-001,029+1.019,031+0.178,N-1,2
C000001,1.1505035,5548,6382.993417999999,27-3A-002,LINCOLN,27-3A-002,034+0.508,035+0.734,N-1,2
C000001,0.87694264,5548,4865.27776672,27-3A-002,LINCOLN,27-3A-002,035+0.734,036+0.617,N-1,2
C000001,2.11269731,2412,5095.8259117200005,27-3A-003,LINCOLN,27-3A-003,037+0.172,039+0.326,N-1,3
C000001,0.70353661,5653,3977.09245633,27-3A-010,LINCOLN,27-3A-010,031+0.178,031+0.882,N-1,4
C000001,0.44335585,9986,4427.3515181,27-3A-011,LINCOLN,27-3A-011,031+0.882,032+0.256,N-1,2
C000001,0.1951948,9648,1883.2394304,27-3A-012,LINCOLN,27-3A-012,032+0.256,032+0.452,N-1,4
C000001,0.44651439,7082,3162.21490998,27-3A-013,LINCOLN,27-3A-013,032+0.452,032+0.898,N-1,2
C000001,1.60388869,7243,11616.96578167,27-3A-014,LINCOLN,27-3A-014,032+0.898,034+0.508,N-1,6
C000001,2.60401221,1780,4635.1417338,27-5-002,LINCOLN,27-5-002,039+0.326,041+0.948,N-1,2
C000001,11.8159701,1748,20654.3157348,27-6-001,LINCOLN,27-6-001,041+0.948,053+0.729,N-1,5
C000001,1.02648603,1748,1794.29758044,27-6-001,LINCOLN,27-6-001,054+0.590,055+0.622,N-1,1
C000001,12.05914286,1345,16219.547146699999,27-6-002,LINCOLN,27-6-002,055+0.622,067+0.666,N-1,16
C000001,6.4836656,1318,8545.4712608,27-6-003,LINCOLN,27-6-003,068+0.992,075+0.476,N-1,8
C000001,2.39857407,974,2336.21114418,36-3-001,PHILLIPS,36-3-001,450+0.804,453+0.207,N-1,2
C000001,8.3055198,1049,8712.4902702,36-3-002,PHILLIPS,36-3-002,453+0.876,462+0.400,N-1,3
C000001,9.15051241,1231,11264.280776709998,36-3-003,PHILLIPS,36-3-003,462+0.400,471+0.609,N-1,2
C000001,0.20454461,3680,752.7241647999999,36-3-014,PHILLIPS,36-3-014,471+0.609,471+0.814,N-1,1
C000001,1.54134483,2587,3987.4590752100003,36-3-015,PHILLIPS,36-3-015,471+0.814,473+0.327,N-1,1
C000001,9.50817836,1161,11038.99507596,36-4-001,PHILLIPS,36-4-001,473+0.327,482+0.871,N-1,4
C000001,9.58865241,1112,10662.58147992,36-4-003,PHILLIPS,36-4-003,489+0.617,499+0.387,N-1,4
C000001,3.99639153,1119,4471.96212207,36-4-004,VALLEY,36-4-004,501+0.490,505+0.534,N-1,1
C000001,0.14584933,1207,176.04014131,36-4-012,PHILLIPS,36-4-012,499+0.387,499+0.533,N-1,1
C000001,7.26204973,1361,9883.64968253,43-3-001,ROOSEVELT,43-3-001,581+0.083,588+0.341,N-1,1
