CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C228335,0.25452019,58.0,14.762171019999998,01-6-020,BEAVERHEAD,01-6-020,000+0.000,000+0.255,R015S037OFA,2,29.0,7.381085509999999
C229088,0.25756981,58.0,14.93904898,48-2-050,STILLWATER,48-2-050,000+0.000,000+0.258,R090E400ONA,2,29.0,7.46952449
C000214,0.156,48.333333333333336,7.54,51-1-004,TOOLE,51-1-004,032+0.673,032+0.829,S-214,1,48.333333333333336,7.54
C000276,0.054,846.0,45.684,47-1-005,SILVER BOW,47-1-005,000+0.000,000+0.054,S-276,6,141.0,7.614
C229060,0.279,55.0,15.345,34-2-040,PARK,34-2-040,000+0.000,000+0.279,R090E324ONA,2,27.5,7.6725
C223620,0.087,1086.6666666666667,94.54,087462H,YELLOWSTONE,087462H,001+0.437,001+0.524,L-56-933,12,90.55555555555556,7.878333333333334
C228456,0.37669432,21.0,7.9105807200000005,37-1-026,PONDERA,37-1-026,000+0.000,000+0.377,R015S352OFA,1,21.0,7.9105807200000005
C056125,5.295,3.0,15.885,103963G,YELLOWSTONE,103963G,000+0.000,005+0.295,L-56-125,2,1.5,7.9425
C015819,0.1228088,65.0,7.982571999999999,09-2A-065,CUSTER,09-2A-065,000+0.064,000+0.187,L-9-535,1,65.0,7.982571999999999
C228336,0.35599947,23.0,8.18798781,01-6-022,BEAVERHEAD,01-6-022,000+0.000,000+0.356,R015S037ONA,1,23.0,8.18798781
C229315,0.344,24.0,8.256,34-2-020,PARK,34-2-020,000+0.000,000+0.344,R090W350ONA,1,24.0,8.256
C047529,3.114,37.666666666666664,117.29399999999998,104197T,SILVER BOW,104197T,000+0.000,003+0.114,L-47-529,14,2.6904761904761902,8.378142857142857
C229050,0.205,41.25,8.456249999999999,34-2-030,PARK,34-2-030,000+0.000,000+0.205,R090E343ONA,1,41.25,8.456249999999999
C228634,0.258,33.5,8.643,55-2-014,WIBAUX,55-2-014,000+0.000,000+0.258,R094W248OFA,1,33.5,8.643
C229005,0.2275326,38.0,8.6462388,39-3-059,POWELL,39-3-059,000+0.000,000+0.228,R090E162OFA,1,38.0,8.6462388
C229077,0.003,5783.666666666667,17.351000000000003,56-4-077,YELLOWSTONE,56-4-077,000+0.000,000+0.003,R090E443ONA,2,2891.8333333333335,8.675500000000001
C228593,0.263,33.0,8.679,09-2-024,CUSTER,09-2-024,000+0.000,000+0.263,R094W128OFA,1,33.0,8.679
C008129,0.08,876.25,70.10000000000001,32-3A-333,MISSOULA,32-3A-333,000+0.071,000+0.151,L-32-940,8,109.53125,8.762500000000001
C228404,0.285,30.75,8.76375,25-7-021,LEWIS AND CLARK,25-7-021,000+0.000,000+0.285,R015S216ONA,1,30.75,8.76375
C003556,0.40972004,365.0,149.5478146,07-2A-161,CASCADE,07-2A-161,000+0.570,000+0.979,L-7-2856,17,21.470588235294116,8.796930270588236
C003557,0.652,355.0,231.46,07-2A-211,CASCADE,07-2A-211,000+0.246,000+0.898,L-7-2857,26,13.653846153846153,8.902307692307692
C228405,0.306,58.25,17.8245,25-5-027,LEWIS AND CLARK,25-5-027,000+0.000,000+0.306,R015S219ONA,2,29.125,8.91225
C228262,0.29,61.5,17.834999999999997,07-3-023,CASCADE,07-3-023,000+0.000,000+0.290,R015N244OFA,2,30.75,8.917499999999999
C036028,0.44691416,20.0,8.9382832,36-3-013,PHILLIPS,36-3-013,000+0.000,000+0.447,L-36-28,1,20.0,8.9382832
C229345,0.006,8945.333333333334,53.672000000000004,56-4-074,YELLOWSTONE,56-4-074,000+0.309,000+0.315,R090W443OFA,6,1490.888888888889,8.945333333333334
C006725,0.139,1181.0,164.15900000000002,15-7C-064,FLATHEAD,15-7C-064,001+0.279,001+0.418,U-6725,18,65.61111111111111,9.119944444444446
C000110,0.07765297,4288.0,332.97593536,07-2A-024,CASCADE,07-2A-024,000+0.755,000+0.833,N-110,36,119.11111111111111,9.249331537777778
C000047,0.106,536.0,56.815999999999995,090380E,DEER LODGE,090380E,005+0.884,005+0.990,P-47,6,89.33333333333333,9.469333333333333
C016192,0.386,148.66666666666666,57.38533333333333,060038K,GALLATIN,060038K,000+0.000,000+0.386,L-16-192,6,24.777777777777775,9.564222222222222
C228508,0.261,37.0,9.657,44-6-011,ROSEBUD,44-6-011,000+0.000,000+0.261,R094E106OFA,1,37.0,9.657
C228637,0.175,110.75,19.381249999999998,47-1-019,SILVER BOW,47-1-019,000+0.000,000+0.175,R115E001ONA,2,55.375,9.690624999999999
C086983,0.12891131,1056.0,136.13034336,56-4A-260,YELLOWSTONE,56-4A-260,000+0.000,000+0.129,L-56-2992,14,75.42857142857143,9.723595954285715
