YEAR,DEPT_ID,DEPT_RBD,DEPT_MP,DEPT_ENDMP,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,TYC_CNTY,MAPSHEET,STATION,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,PCTPEAK_SU,PCTPEAK_CU,JCT_DESC,LINK_DESC
2020,P-33,A,008+0.718,013+0.637,4.89961297,C000033,A,C000033A,008+0.718,013+0.637,8.65317962,13.55279259,27,4,1,27-4-001,,,E,926,25,35,7,82,41,27,38,8,89,44,RMA_RMC_12,4053,10,121,31,31,46,46,,2,,LINCOLN,0.144,0.144,,
2020,L-32-4325,A,000+0.000,000+0.502,0.50238478,C006301,A,C006301A,000+0.000,000+0.502,0.0,0.50238478,32,3A,235,32-3A-235,,,E,318,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,MISSOULA,0.0,0.0,JCT U-8115 (RATTLESNAKE DR),ENT L-32-4325A/
2020,P-69,A,037+0.635,038+0.171,0.45422131,C000069,A,C000069A,037+0.635,038+0.171,37.2224009,37.67662221,22,2,9,22-2-009,,,E,3056,9,31,7,204,155,3,10,2,67,51,RMA_RMC_12,4087,15,174,96,96,143,143,,2,,JEFFERSON,1.19,1.105,,
2020,S-271,A,000+0.000,001+0.489,1.48819243,C000271,A,C000271A,000+0.000,001+0.489,0.0,1.48819243,20,1,14,20-1-014,,,E,238,1,0,0,25,11,4,0,0,105,46,RMA_RMC_12,5117,15,165,7,7,9,9,,2,,GRANITE,1.22,0.813,JCT P-96 E DRUMMOND INTERCHANGE,ENT S-271A/
2020,U-5218,A,000+0.981,001+0.551,0.57040605,C005218,A,C005218A,000+0.981,001+0.551,0.98078211,1.55118816,7,2A,97,07-2A-097,,,A,4736,0,0,0,267,100,0,0,0,56,21,UMA_UC,8058,10,124,91,91,131,131,Yes,2,,CASCADE,0.0,0.0,JCT U-5217(25TH ST N),JCT U-5217(25TH ST N)
2020,N-23,A,001+1.096,002+0.035,0.06291576,C000023,A,C000023A,001+1.096,002+0.035,1.7695009,1.83241666,9,2A,24,09-2A-024,,,A,7644,14,23,19,526,363,2,3,2,69,47,UPA,7035,10,95,250,250,372,372,,2,,CUSTER,0.105,0.262,JCT I-94 ON RAMP BROADUS INTERCHANGE,JCT I-94 ON RAMP BROADUS INTERCHANGE
2020,U-5705,A,000+0.489,000+0.626,0.13688631,C005705,A,C005705A,000+0.489,000+0.626,0.48943966,0.62632597,21,4A,36,21-4A-036,,,E,139,3,2,16,11,1,22,14,115,79,7,UMA_UC,9036,10,123,9,9,11,11,,2,,HILL,0.0,0.0,,
2020,N-57,A,029+0.359,032+0.390,2.98994238,C000057,A,C000057A,029+0.359,032+0.390,29.42585342,32.4157958,23,1,2,23-1-002,,,A,2172,7,37,15,507,351,3,17,7,233,162,RPA_45,3067,10,127,206,206,312,312,,2,,JUDITH BASIN,0.757,1.226,,BEGIN 2 LANES
2020,S-228,A,013+0.739,016+0.305,2.69775548,C000228,A,C000228A,013+0.739,016+0.305,13.74144858,16.43920406,7,2,25,07-2-025,,,E,447,3,6,3,47,27,7,13,7,105,60,RMA_RMC_345,5045,10,104,18,18,28,28,,2,,CASCADE,0.204,0.204,JCT S-331,JCT S-331
2020,L-25-900,A,000+0.113,000+0.828,0.7147201,C004328,A,C004328A,000+0.113,000+0.828,0.11321457,0.82793467,25,7C,41,25-7C-041,,,A,1915,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,LEWIS AND CLARK,0.0,0.0,,
2020,N-7,A,006+0.818,012+0.914,6.01680986,C000007,A,C000007A,006+0.818,012+0.914,6.76375826,12.78056812,41,5,2,41-5-002,,,A,1070,47,315,8,68,41,44,294,7,64,38,RPA_1,3032,10,144,26,26,37,37,,2,,RAVALLI,0.28,0.28,,BEGIN 2 LANES
2020,N-111,A,002+0.878,002+0.941,0.06284504,C001010,A,C001010A,002+0.878,002+0.941,2.87773341,2.94057845,56,4A,49,56-4A-049,,,E,35755,37,26,26,177,33,1,1,1,5,1,UPA,7058,10,101,85,85,116,116,,6,,YELLOWSTONE,0.13,0.074,JCT I-90 ON RAMP W BILLINGS INTERCHANGE,JCT I-90 ON RAMP W BILLINGS INTERCHANGE
2020,S-451,A,028+0.555,034+0.596,5.96245241,C000451,A,C000451A,028+0.555,034+0.596,28.24610552,34.20855793,2,7,5,02-7-005,,,E,274,2,18,2,23,9,7,66,7,84,33,RMA_RMC_345,5287,10,162,7,7,10,10,,2,,BIG HORN,0.333,1.333,JCT S-457 N OF WYOLA,JCT S-457 N OF WYOLA
2020,S-352,A,000+0.000,002+0.145,2.1592255,C000352,A,C000352A,000+0.000,002+0.145,0.0,2.1592255,24,2,14,24-2-014,,,A,792,11,10,1,31,14,14,13,1,39,18,RMA_RMC_12,5209,10,136,12,12,18,18,,2,,LAKE,0.758,0.253,JCT N-5 AT DAYTON FLATHEAD IR,ENT S-352A/
2020,U-603,A,000+1.031,002+0.042,1.02499124,C000290,A,C000290A,000+1.031,002+0.042,1.03121436,2.0562056,16,3,20,16-3-020,,,A,4729,22,9,16,96,49,5,2,3,20,10,UMA_UC,5139,10,117,44,44,62,62,,2,,GALLATIN,0.211,0.211,,
2020,P-29,A,034+0.223,039+0.379,5.15182703,C000029,A,C000029A,034+0.223,039+0.379,34.1768606,39.32868763,29,3,4,29-3-004,,,E,1865,8,35,10,139,75,4,19,5,75,40,RMA_RMC_12,4043,10,130,49,49,69,69,,2,,MADISON,0.457,0.172,,
2020,U-5816,A,001+0.567,001+0.748,0.18034269,C005816,A,C005816A,001+0.567,001+0.748,1.56728767,1.74763036,25,7C,79,25-7C-079,,,A,3160,14,4,40,36,9,4,1,13,11,3,UMA_UC,8084,10,107,28,28,35,35,,2,,LEWIS AND CLARK,0.036,0.014,,
2020,P-60,A,029+0.634,030+0.567,0.96474437,C000060,A,C000060A,029+0.634,030+0.567,29.56416517,30.52890954,7,4,6,07-4-006,,,A,351,12,13,0,75,59,34,37,0,214,168,RMA_RMC_345,4082,10,188,22,22,32,32,,2,,CASCADE,0.093,1.019,,BEGIN 2 LANES
2020,S-248,A,017+0.697,018+0.324,0.62672199,C000248,A,C000248A,017+0.697,018+0.324,17.74953076,18.37625275,10,1,2,10-1-002,,,E,215,3,2,3,51,38,14,9,14,237,177,RMA_RMC_345,4110,10,153,23,23,36,36,,2,,VALLEY,0.881,3.084,,
2020,U-5202,A,000+0.283,000+0.413,0.12999464,C005202,A,C005202A,000+0.283,000+0.413,0.28331981,0.41331445,7,2A,39,07-2A-039,,,E,1699,0,6,68,146,21,0,4,40,86,12,UMA_UC,9018,10,114,52,52,66,66,,2,,CASCADE,0.0,0.0,JCT N-10(15TH ST N),BEGIN 2 LANES/JCT N-10(15TH ST N)
2020,P-19,A,013+0.659,017+0.204,3.53978988,C000019,A,C000019A,013+0.659,017+0.204,13.58774055,17.12753043,12,1C,45,12-1C-045,,,E,1672,12,18,5,43,17,7,11,3,26,10,RMA_RMC_12,4116,10,122,15,15,20,20,,2,,DEER LODGE,0.192,0.0,,
2020,P-3,A,022+0.610,023+0.415,0.82104314,C000003,A,C000003A,022+0.610,023+0.415,21.79700984,22.61805298,50,4,14,50-4-014,,,A,1750,12,50,2,163,97,7,29,1,93,55,RMA_RMC_345,4003,10,127,48,48,69,69,,2,,TETON,0.411,0.235,,
2020,S-213,A,006+0.887,007+0.409,0.50084195,C000213,A,C000213A,006+0.887,007+0.409,7.09216154,7.59300349,18,3,1,18-3-001,,,E,621,4,20,1,91,51,6,32,2,147,82,RMA_RMC_345,5019,10,102,37,37,58,58,,2,,GLACIER,0.882,0.588,JCT S-215,JCT S-215
2020,L-43-1009,A,000+0.000,000+0.697,0.69709696,C003146,A,C003146A,000+0.000,000+0.697,0.0,0.69709696,43,5,19,43-5-019,,,E,148,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,ROOSEVELT,0.0,0.0,JCT N-22/S-344,ENT L-43-1009A/
2020,N-1,A,136+0.398,136+0.641,0.24315809,C000001,A,C000001A,136+0.398,136+0.641,136.3926803,136.6358384,15,4A,30,15-4A-030,,,E,19510,42,197,40,941,424,2,10,2,48,22,UPA,7131,21,104,422,422,612,612,,4,,FLATHEAD,0.141,0.108,JCT 4TH AVE W/U-2504,JCT 4TH AVE W/U-2504
