CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000090A,39-3-004,184+0.694,187+0.740,I-90,48,3.029,8741.0,26476.489,,POWELL,,I-90,Interstate,9.6,910.5208333333334,2757.9676041666667
C000090A,39-3-005,187+0.740,194+0.909,I-90,80,7.169,10708.0,76765.652,,POWELL,,I-90,Interstate,16.0,669.25,4797.85325
C000090A,39-3-005,195+0.410,197+0.302,I-90,26,1.873,9971.5,18676.6195,,DEER LODGE,,I-90,Interstate,5.2,1917.5961538461536,3591.657596153846
C000090A,39-3-005,194+0.909,195+0.410,I-90,6,0.515,9971.5,5135.3225,,POWELL,,I-90,Interstate,1.2,8309.583333333334,4279.435416666667
C000090A,47-1B-003,216+0.549,219+0.215,I-90,51,2.743,14721.0,40379.703,,SILVER BOW,,I-90,Interstate,10.2,1443.235294117647,3958.794411764706
C000090A,47-1C-004,226+0.731,228+0.380,I-90,36,1.594,10440.25,16641.7585,,SILVER BOW,,I-90,Interstate,7.2,1450.0347222222222,2311.355347222222
C000090A,47-1C-005,228+0.380,232+0.954,I-90,126,4.629,11226.0,51965.153999999995,,SILVER BOW,,I-90,Interstate,25.2,445.4761904761905,2062.1092857142858
C000090A,48-2-001,400+0.427,408+0.636,I-90,184,8.22,11721.0,96346.62,,STILLWATER,,I-90,Interstate,36.8,318.50543478260875,2618.114673913044
C000090A,49-3-001,396+0.801,400+0.427,I-90,77,3.633,10431.5,37897.6395,,STILLWATER,,I-90,Interstate,15.4,677.3701298701299,2460.8856818181816
C000090A,49-3-001,391+0.940,396+0.801,I-90,56,4.909,10431.5,51208.233499999995,,STILLWATER,,I-90,Interstate,11.2,931.3839285714288,4572.163705357143
C000090A,49-3-001,384+0.808,391+0.162,I-90,90,6.294,10431.5,65655.86099999999,,SWEET GRASS,,I-90,Interstate,18.0,579.5277777777778,3647.5478333333326
C000090A,49-3-001,391+0.162,391+0.940,I-90,11,0.777,10431.5,8105.275500000001,,STILLWATER,,I-90,Interstate,2.2,4741.590909090909,3684.216136363637
C000090A,49-3-001,377+0.812,384+0.808,I-90,100,7.007,10845.0,75990.915,,SWEET GRASS,,I-90,Interstate,20.0,542.25,3799.54575
C000090A,49-3A-001,361+0.785,367+0.395,I-90,66,5.603,11449.5,64151.5485,,SWEET GRASS,,I-90,Interstate,13.2,867.3863636363637,4859.9657954545455
C000090A,49-3A-001,354+0.044,361+0.785,I-90,108,7.751,11449.5,88745.0745,,SWEET GRASS,,I-90,Interstate,21.6,530.0694444444445,4108.568263888888
C000090A,49-3A-001,354+0.033,354+0.044,I-90,1,0.011,11449.5,125.9445,,PARK,,I-90,Interstate,0.2,57247.5,629.7225
C000090A,49-3A-001,352+0.537,354+0.033,I-90,32,1.49,12180.0,18148.2,,PARK,,I-90,Interstate,6.4,1903.125,2835.65625
C000090A,49-3A-002,367+0.395,370+0.545,I-90,52,3.179,9953.0,31640.587,,SWEET GRASS,,I-90,Interstate,10.4,957.0192307692308,3042.3641346153845
C000090A,49-3A-003,370+0.545,377+0.812,I-90,109,7.253,12306.0,89255.418,,SWEET GRASS,,I-90,Interstate,21.8,564.4954128440367,4094.2852293577985
C000090A,56-4A-002,445+0.539,446+0.403,I-90,33,0.865,18901.0,16349.365,,YELLOWSTONE,,I-90,Interstate,6.6,2863.787878787879,2477.176515151515
C000090A,56-4A-004,449+0.870,452+0.652,I-90,131,2.774,29488.0,81799.712,,YELLOWSTONE,,I-90,Interstate,26.2,1125.496183206107,3122.1264122137404
C000090A,56-4A-005,452+0.652,454+0.990,I-90,50,2.344,26640.0,62444.16,,YELLOWSTONE,,I-90,Interstate,10.0,2664.0,6244.415999999999
C000090A,56-4A-006,454+0.990,456+0.308,I-90,33,1.313,20161.0,26471.393,,YELLOWSTONE,,I-90,Interstate,6.6,3054.69696969697,4010.8171212121215
