SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000005_176+0.362_177+0.113_N-5,C000005A,27-2-002,176+0.362,177+0.113,N-5,4,0.762,2921.5,2226.183,,LINCOLN,,MT-200/US-93,NI-NHS,0.8,3651.875,2782.72875
C000005_180+0.879_183+0.158_N-5,C000005A,27-2-003,180+0.879,183+0.158,N-5,6,2.271,1951.0,4430.721,,LINCOLN,,MT-200/US-93,NI-NHS,1.2,1625.8333333333337,3692.2675
C000005_177+0.599_178+0.981_N-5,C000005A,27-2-011,177+0.599,178+0.981,N-5,4,1.334,3848.75,5134.2325,,LINCOLN,,MT-200/US-93,NI-NHS,0.8,4810.9375,6417.790625
C000005_177+0.113_177+0.599_N-5,C000005A,27-2-011,177+0.113,177+0.599,N-5,5,0.486,3848.75,1870.4925,,LINCOLN,,MT-200/US-93,NI-NHS,1.0,3848.75,1870.4925
C000005_179+0.046_179+0.525_N-5,C000005A,27-2-013,179+0.046,179+0.525,N-5,1,0.479,6558.0,3141.2819999999997,,LINCOLN,,MT-200/US-93,NI-NHS,0.2,32790.0,15706.409999999998
C000005_179+0.525_180+0.879_N-5,C000005A,27-2-014,179+0.525,180+0.879,N-5,7,1.356,6911.0,9371.316,,LINCOLN,,MT-200/US-93,NI-NHS,1.4,4936.428571428572,6693.797142857144
C000005_178+0.981_179+0.046_N-5,C000005A,27-2-020,178+0.981,179+0.046,N-5,1,0.068,6037.0,410.516,,LINCOLN,,MT-200/US-93,NI-NHS,0.2,30185.0,2052.58
C000005_014+0.480_015+0.068_N-5,C000005A,32-1-001,014+0.480,015+0.068,N-5,12,0.588,8852.5,5205.2699999999995,,MISSOULA,,MT-200/US-93,NI-NHS,2.4,3688.541666666667,2168.8624999999997
C000005_013+0.047_014+0.480_N-5,C000005A,32-1-001,013+0.047,014+0.480,N-5,26,1.433,8852.5,12685.6325,,MISSOULA,,MT-200/US-93,NI-NHS,5.2,1702.4038461538462,2439.5447115384613
C000005_015+0.068_015+0.701_N-5,C000005A,32-1-001,015+0.068,015+0.701,N-5,12,0.633,8852.5,5603.6325,,LAKE,,MT-200/US-93,NI-NHS,2.4,3688.541666666667,2334.846875
C000005_016+0.628_017+0.330_N-5,C000005A,32-1-001,016+0.628,017+0.330,N-5,4,0.71,8852.5,6285.275,,LAKE,,MT-200/US-93,NI-NHS,0.8,11065.625,7856.593749999999
C000005_015+0.701_016+0.628_N-5,C000005A,32-1-001,015+0.701,016+0.628,N-5,12,0.929,8852.5,8223.9725,,LAKE,,MT-200/US-93,NI-NHS,2.4,3688.541666666667,3426.6552083333336
C000005_000+0.073_000+0.112_N-5,C000005A,32-3-003,000+0.073,000+0.112,N-5,1,0.039,11866.75,462.80325,,MISSOULA,,MT-200/US-93,NI-NHS,0.2,59333.75,2314.0162499999997
C000005_000+0.112_001+0.240_N-5,C000005A,32-3-003,000+0.112,001+0.240,N-5,58,0.836,11866.75,9920.603,,MISSOULA,,MT-200/US-93,NI-NHS,11.6,1022.9956896551724,855.2243965517241
C000005_001+0.240_003+0.037_N-5,C000005A,32-3-003,001+0.240,003+0.037,N-5,26,1.773,11866.75,21039.74775,,MISSOULA,,MT-200/US-93,NI-NHS,5.2,2282.0673076923076,4046.105336538461
C000005_000+0.000_000+0.073_N-5,C000005A,32-3-003,000+0.000,000+0.073,N-5,9,0.073,11866.75,866.27275,,MISSOULA,,MT-200/US-93,NI-NHS,1.8,6592.638888888889,481.2626388888889
C000005_010+0.638_013+0.047_N-5,C000005A,32-3-004,010+0.638,013+0.047,N-5,35,2.414,8813.5,21275.789,,MISSOULA,,MT-200/US-93,NI-NHS,7.0,1259.071428571429,3039.3984285714287
C000005_009+0.332_010+0.638_N-5,C000005A,32-3-004,009+0.332,010+0.638,N-5,34,1.333,8813.5,11748.3955,,MISSOULA,,MT-200/US-93,NI-NHS,6.8,1296.1029411764707,1727.7052205882353
C000005_007+0.486_009+0.332_N-5,C000005A,32-3-004,007+0.486,009+0.332,N-5,41,1.826,8813.5,16093.451,,MISSOULA,,MT-200/US-93,NI-NHS,8.2,1074.817073170732,1962.6159756097563
C000005_003+0.037_007+0.486_N-5,C000005A,32-3-004,003+0.037,007+0.486,N-5,82,4.453,8813.5,39246.5155,,MISSOULA,,MT-200/US-93,NI-NHS,16.4,537.4085365853659,2393.0802134146343
C000005_023+0.014_023+0.568_N-5,C000005A,A-008,023+0.014,023+0.568,N-5,4,0.554,8252.0,4571.608,,LAKE,,MT-200/US-93,NI-NHS,0.8,10315.0,5714.51
C000005_023+0.568_024+0.587_N-5,C000005A,A-008,023+0.568,024+0.587,N-5,7,1.014,8252.0,8367.528,,LAKE,,MT-200/US-93,NI-NHS,1.4,5894.285714285715,5976.805714285715
C000005_024+0.587_027+0.353_N-5,C000005A,A-008,024+0.587,027+0.353,N-5,32,2.786,8252.0,22990.072,,LAKE,,MT-200/US-93,NI-NHS,6.4,1289.375,3592.19875
C000005_027+0.353_027+0.499_N-5,C000005A,A-008,027+0.353,027+0.499,N-5,1,0.146,8252.0,1204.792,,LAKE,,MT-200/US-93,NI-NHS,0.2,41260.0,6023.959999999999
C000005_018+0.456_023+0.014_N-5,C000005A,A-008,018+0.456,023+0.014,N-5,49,4.552,8252.0,37563.104,,LAKE,,MT-200/US-93,NI-NHS,9.8,842.0408163265306,3832.969795918367
C000005_073+0.829_077+0.565_N-5,C000005A,A-074,073+0.829,077+0.565,N-5,47,3.715,4022.75,14944.51625,,LAKE,,MT-200/US-93,NI-NHS,9.4,427.9521276595744,1589.842154255319
C000005_077+0.565_080+0.907_N-5,C000005A,W-133,077+0.565,080+0.907,N-5,35,3.35,4909.75,16447.662500000002,,LAKE,,MT-200/US-93,NI-NHS,7.0,701.3928571428571,2349.6660714285717
C000005_080+0.907_081+0.167_N-5,C000005A,W-133,080+0.907,081+0.167,N-5,3,0.281,4909.75,1379.63975,,LAKE,,MT-200/US-93,NI-NHS,0.6,8182.916666666667,2299.3995833333333
C000005_081+0.167_081+0.520_N-5,C000005A,W-133,081+0.167,081+0.520,N-5,7,0.353,4909.75,1733.14175,,LAKE,,MT-200/US-93,NI-NHS,1.4,3506.964285714286,1237.9583928571428
C000005_081+0.520_081+0.757_N-5,C000005A,W-133,081+0.520,081+0.757,N-5,6,0.237,4909.75,1163.61075,,LAKE,,MT-200/US-93,NI-NHS,1.2,4091.4583333333335,969.675625
C000005_081+0.757_082+0.826_N-5,C000005A,W-133,081+0.757,082+0.826,N-5,16,1.08,4909.75,5302.530000000001,,LAKE,,MT-200/US-93,NI-NHS,3.2,1534.296875,1657.040625
