OBJECTID,ROUTE ID,BEGIN MILE,END MILE,BEGIN REFERENCE POINT,END REFERENCE POINT,DEPARTMENTAL ROUTE,ROUTE NAME,SIGNED ROUTE,SYSTEM,FUNCTIONAL CLASS,ROUTE CATEGORY,STATE MAINTAINED,MAINTENANCE SECTION,STATE RESPONSIBLE,SURFACE TYPE,SURFACE WIDTH,THROUGH LANES,SPEED LIMIT,DIVIDED,ONE WAY,COINCIDENT,SEASONAL,CITY,URBAN AREA,MPO,RESERVATION,NATIONAL PARK,COUNTY,MAINTENANCE DIVISION,FINANCIAL DISTRICT,ADMINISTRATIVE DISTRICT,JUNCTION DESCRIPTION,DESCRIPTION,RECORD LENGTH (MI),CENTERLINE MILEAGE,Shape__Length
43,C000001A,32.5256,32.6693,032+0.4517,032+0.5953,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,25,,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,0.143700000000003,0.143700000000003,347.85645427346
44,C000001A,32.6693,32.7229,032+0.5953,032+0.6490,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,30,,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 30 MPH SPEED LIMIT,0.053600000000003,0.053600000000003,129.968517563596
45,C000001A,32.7229,32.8701,032+0.6490,032+0.7962,N-1A,MINNESOTA AVE,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,30,,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,LV 9TH ST/ENT MINNESOTA AVE,0.147199999999998,0.147199999999998,357.285138536426
46,C000001A,32.8701,32.9721,032+0.7962,032+0.8982,N-1A,MINNESOTA AVE,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,30,,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.101999999999997,0.101999999999997,247.429160667706
47,C000001A,32.9721,33.0607,032+0.8982,033+0.0246,N-1A,MINNESOTA AVE,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,30,,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,0.0885999999999996,0.0885999999999996,215.077951450842
48,C000001A,33.0607,33.1106,033+0.0246,033+0.0745,N-1A,MINNESOTA AVE,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,40,,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 40 MPH SPEED LIMIT,0.0499000000000009,0.0499000000000009,120.930362271942
49,C000001A,33.1106,33.7984,033+0.0745,033+0.7624,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,40,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,LV LIBBY CITY LIMITS/LV MINNESOTA AVE,0.687800000000003,0.687800000000003,1668.23253739053
50,C000001A,33.7984,33.9184,033+0.7624,033+0.8823,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,50,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 50 MPH SPEED LIMIT,0.119999999999997,0.119999999999997,290.799461911354
51,C000001A,33.9184,34.576,033+0.8823,034+0.5078,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,50,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.657600000000002,0.657600000000002,1594.07816565899
52,C000001A,34.576,35.7265,034+0.5078,035+0.7343,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,50,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,1.1505,1.1505,2785.08547956593
53,C000001A,35.7265,36.6034,035+0.7343,036+0.6166,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,50,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,N JCT S-482,N JCT S-482,0.876899999999999,0.876899999999999,2125.95337713427
54,C000001A,36.6034,36.8711,036+0.6166,036+0.8844,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,3,50,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 3 LANES/AADT CHANGE,0.267699999999998,0.267699999999998,647.262103861305
55,C000001A,36.8711,37.1769,036+0.8844,037+0.1724,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,3,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 70 MPH SPEED LIMIT,0.305800000000005,0.305800000000005,740.482548396258
56,C000001A,37.1769,37.8285,037+0.1724,037+0.8240,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,44,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 2 LANES/SURFACE WIDTH CHANGE,0.651599999999995,0.651599999999995,1579.29328652509
57,C000001A,37.8285,39.2896,037+0.8240,039+0.3262,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,26,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,1.4611,1.4611,3537.83842108743
58,C000001A,39.2896,41.8937,039+0.3262,041+0.9483,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,26,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,2.6041,2.6041,6299.41309791894
59,C000001A,41.8937,44.608,041+0.9483,044+0.6304,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,26,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,S JCT S-482,AADT CHANGE/S JCT S-482,2.71429999999999,2.71429999999999,6566.25982248258
60,C000001A,44.608,44.7861,044+0.6304,044+0.8086,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,24,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.178100000000001,0.178100000000001,430.269156651271
61,C000001A,44.7861,53.013,044+0.8086,053+0.0327,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,32,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,8.2269,8.2269,19855.2901426119
62,C000001A,53.013,53.7096,053+0.0327,053+0.7293,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1213,Yes,Asphalt,32,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,LV MAINT SECT 1219/ENT MAINT SECT 1213,0.696600000000004,0.696600000000004,1679.75398783927
63,C000001A,53.7096,54.5582,053+0.7293,054+0.5898,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1213,Yes,Asphalt,44,3,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 3 LANES/SURFACE WIDTH CHANGE,0.848599999999998,0.848599999999998,2042.37853732954
64,C000001A,54.5582,55.5847,054+0.5898,055+0.6223,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1213,Yes,Asphalt,39,2,70,,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 2 LANES/SURFACE WIDTH CHANGE,1.0265,1.0265,2462.08622935642
