route,segment_name,SIGNED_ROUTE,crashes,length,DEPT_ID,TOTAL_CRASHES,AVG_TYC_AADT,MILES_DRIVEN,ROUTE_NAME,SYSTEM,CARS_PER_ACCIDENT,MILES_PER_ACCIDENT,CRASHES_PER_100M_VMT
I-90_I-90_Columbus_Laurel,I-90_I-90_Columbus_Laurel,I-90,432,25.551000,I-90,432,13615.590623,347891.956000,,Interstate,31.517571,805.305454,67.995337
US-310_N-4_Rockvale_Laurel,US-310_N-4_Rockvale_Laurel,US-310,113,13.043000,N-4,113,7133.801599,93046.174250,,NI-NHS,63.130988,823.417471,66.499701
I-15_I-15_Shelby_Candian-Border,I-15_I-15_Shelby_Candian-Border,I-15,83,34.948000,I-15,83,1958.650674,68450.923750,,Interstate,23.598201,824.709925,66.395485
I-90_I-90_White-Hall_Three-Forks,I-90_I-90_White-Hall_Three-Forks,I-90,415,29.298000,I-90,415,11777.412076,345054.619000,,Interstate,28.379306,831.456913,65.856709
I-15_I-15_Dillon_Butte,I-15_I-15_Dillon_Butte,I-15,298,57.962000,I-15,298,4296.763729,249049.019250,,Interstate,14.418670,835.734964,65.519594
US-2_N-1_Shelby_Havre,US-2_N-1_Shelby_Havre,US-2,177,101.504000,N-1,177,1462.716120,148471.537000,,NI-NHS,8.263933,838.822243,65.278450
I-15_I-15_Idaho-Border_Dillon,I-15_I-15_Idaho-Border_Dillon,I-15,290,63.580000,I-15,290,3969.035518,252351.278250,,Interstate,13.686329,870.176822,62.926309
I-94_I-94_Glendive_North-Dakota-Border,I-94_I-94_Glendive_North-Dakota-Border,I-94,166,37.041000,I-94,166,4092.990146,151608.448000,,Interstate,24.656567,913.303904,59.954869
MT-200_US-93_N-5_Eureka_Candian-Border,MT-200_US-93_N-5_Eureka_Candian-Border,MT-200/US-93,21,8.454000,N-5,21,2543.648963,21504.008333,,NI-NHS,121.126141,1024.000397,53.473627
US-212_N-37_Ashland_Brodus,US-212_N-37_Ashland_Brodus,US-212,63,40.760000,N-37,63,1816.729950,74049.912750,,NI-NHS,28.836983,1175.395440,46.586037
US-212_P-28_Silver-Gate-Start_Red-Lodge,US-212_P-28_Silver-Gate-Start_Red-Lodge,US-212,38,66.798000,P-28,38,700.746852,46808.488250,,Primary,18.440707,1231.802322,44.452762
US-2_N-1_Wolf-Point_North-Dakota-Border,US-2_N-1_Wolf-Point_North-Dakota-Border,US-2,96,75.646000,N-1,96,1774.517341,134235.138750,,NI-NHS,18.484556,1398.282695,39.160190
US-2_N-1_Browning_Cut-Bank,US-2_N-1_Browning_Cut-Bank,US-2,48,32.489000,N-1,48,2231.219190,72490.080250,,NI-NHS,46.483733,1510.210005,36.257882
I-90_I-90_Hardin_Wyoming-Border,I-90_I-90_Hardin_Wyoming-Border,I-90,202,58.829000,I-90,202,5283.255180,310808.619000,,Interstate,26.154729,1538.656530,35.587550
